Campaign_Name,Campaign_Type,Lead_Target,CPL,CPL_Currency,Job_Title,Job_Function_IT,Job_Function_Marketing,Job_Function_HR,Job_Function_Finace,Job_Function_Sales,Job_Function_Other,Geography,Job_level,Employee_size,Revenue_Size,Industry
,Email ( newlsetter and solus),,,INR,,Information Technology,marketing,H.R,Finance,,,,President,Self-employed,<1M,Abrasives and Nonmetallic Minerals Manufacturing
,Telemarketing,,,USD,,Information Services,Event,Recruiter,Financial,,,,Founder,10-Jan,1M-10M,Accommodation
,BANT,,,Pounds,,Information Security,brand,Recruiting,Controller,,,,Co-Founder,Nov-50,10M-25M,Accounting
,Hybrid (Email + TM),,,Australian Dollar,,Information System,product,Recruitment,Treasurer,,,,C-Level,51-200,25M-50M,Administration of Justice
,HQL,,,,,Software,ecommerce,Benefits,Accounting,,,,Vice President,201-500,50M-100M,Administrative and Support Services
,SQL,,,,,Web Developer,e-commerce,Payroll,Accountant,,,,Director,501-1000,100M-250M,Advertising Services
,Webinar,,,,,Information Software,public relation,Compensation,Payments,,,,Head,1001-5000,250M-500M,Agricultural Chemical Manufacturing
,Survey,,,,,Information Web,communication,Talent Acquisition,Payable,,,,Manager,"5001-10,000",500M-1B,"Agriculture, Construction, Mining Machinery Manufacturing"
,Data Enrichment,,,,,Application Development,market,Human Resource,Revenue,,,,Staff,"10,001+",1B-5B,"Air, Water, and Waste Program Management"
,Data Cleansing,,,,,,demand generation,learning,Banking,,,,Others,All,5B-10B,Airlines and Aviation
,Display,,,,,,lead generation,staffing,Pension,,,,,,10B-25B,Alternative Dispute Resolution
,,,,,,,e commerce,talent,Investment,,,,,,25B-50B,Alternative Medicine
,,,,,,,Digital,,Budget,,,,,,50B-100B,Ambulance Services
,,,,,,,,,Risk,,,,,,>100B,Amusement Parks and Arcades
,,,,,,,,,collection,,,,,,All,Animal Feed Manufacturing
,,,,,,,,,accounts,,,,,,,Animation and Post-production
,,,,,,,,,audit,,,,,,,Apparel Manufacturing
,,,,,,,,,credit,,,,,,,"Appliances, Electrical, and Electronics Manufacturing"
,,,,,,,,,loan,,,,,,,Architectural and Structural Metal Manufacturing
,,,,,,,,,mortgage,,,,,,,Architecture and Planning
,,,,,,,,,banking,,,,,,,Armed Forces
,,,,,,,,,tresurary,,,,,,,Artificial Rubber and Synthetic Fiber Manufacturing
,,,,,,,,,,,,,,,,Artists and Writers
,,,,,,,,,,,,,,,,Audio and Video Equipment Manufacturing
,,,,,,,,,,,,,,,,Automation Machinery Manufacturing
,,,,,,,,,,,,,,,,Aviation and Aerospace Component Manufacturing
,,,,,,,,,,,,,,,,Baked Goods Manufacturing
,,,,,,,,,,,,,,,,Banking
,,,,,,,,,,,,,,,,"Bars, Taverns, and Nightclubs"
,,,,,,,,,,,,,,,,"Bed-and-Breakfasts, Hostels, Homestays"
,,,,,,,,,,,,,,,,Beverage Manufacturing
,,,,,,,,,,,,,,,,Biomass Electric Power Generation
,,,,,,,,,,,,,,,,Biotechnology Research
,,,,,,,,,,,,,,,,Blockchain Services
,,,,,,,,,,,,,,,,Blogs
,,,,,,,,,,,,,,,,"Boilers, Tanks, and Shipping Container Manufacturing"
,,,,,,,,,,,,,,,,Book and Periodical Publishing
,,,,,,,,,,,,,,,,Book Publishing
,,,,,,,,,,,,,,,,Breweries
,,,,,,,,,,,,,,,,Broadcast Media Production and Distribution
,,,,,,,,,,,,,,,,Building Construction
,,,,,,,,,,,,,,,,Building Equipment Contractors
,,,,,,,,,,,,,,,,Building Finishing Contractors
